NAME,BANNED,SCOPE,ORG,YEAR,GROUPS_NO,GROUPS_MEMS,HIGHER_MEMS,VIO_MEMS,VIO_MEM_DIFF,HIGHER_VIO_MEMS,VIO_FR_CRIME,FR_HOMOCIDES,FR_PROP_CRIME,LOCATION,REGION,LAT,LON,SIZE,ELECT_CAMPAIGN,CRIME_ASS,CRIME_ACTS,VIO_CRIME_ASS,129StGB,INTERNATIONAL_LINKS,BAN_LINK,APABIZ_SOURCES,NOTES,CLASS,VFS1990,VFS1991,VFS1992,VFS1993,VFS1994,VFS1995,VFS1996,VFS1997,VFS1998,VFS1999,VFS2000,VFS2001,VFS2002,VFS2003,VFS2004,VFS2005,VFS2006,VFS2007,VFS2008,VFS2009,VFS2010,VFS2011,VFS2012,VFS2013,VFS2014,VFS2015,VFS2016,VFS2017,VFS2018,VFS2019,VFS2020,VFS2021,VFS2022,FIRST,LAST,BAN_DATE,SHORT_NAME,BAN,VIO_LEVEL,VIO_LEVEL_1stYEAR,VIO_LEVEL_lastYEAR,RMEM_DIFF,HOM,PROP,LINK,NNOV,PARTY,YMON,BAN_LINKS,B_LINKS_AUTO,SPD_BMI,SPD_VFS,PROP_trendline,PROP_trend_diff
Feuerkrieg Division Deutschland (FKDD),0,national,association,2021,,33900,1,13500,200,1,945,1,11866,Potsdam,Brandenburg,52.39180634,13.06447915,,,"YES (VfS2021, p72)",,YES,sort of…,1,None,,online group; https://dserver.bundestag.de/btd/20/026/2002669.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,2021-01-01,2022-01-01,2021-03-20,Feuerkrieg Division Deutschland,1,945,945,945,200,1,11866,0,1,0,1,None,0,0,0,14899.403,-3033.40341
Freie Sachsen,0,regional,party,2021,,33900,1,13500,200,1,945,1,11866,Chemnitz,Sachsen,50.8322608,12.9252977,1000 (2022),YES,,,,,,Members,https://de.wikipedia.org/wiki/Freie_Sachsen_(2021),"led by Martin Kohlmann, links to Pro Chemnitz (VfS2022, p.99)",Rechtsextremistische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,YES,2021-01-01,2023-01-01,,Freie Sachsen,0,945,945,1016,200,1,11866,0.25,1,1,2,Members,0.25,0,0,14899.403,-3033.40341
Nationale Sozialisten Rostock und Baltik Korps,1,regional,association,2021,,33900,1,13500,200,1,945,1,11866,Rostock,Mecklenburg-Vorpommern,54.0924445,12.1286127,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,2021-01-01,2022-01-01,2021-06-24,Nat. Sozialisten Rostock und Baltik Korps,1,945,945,945,200,1,11866,0,1,0,1,None,0,0,0,14899.403,-3033.40341
Atomwaffendivision Deutschland,0,national,association,2022,,38800,1,14000,500,1,1016,0,13026,Eisenach,Thueringen,50.977398,10.30694314,,,,,,YES (2022),1,None,,https://taz.de/Terrorverdacht-gegen-Rechtsextreme/!5847946/,Rechtsextremistische; neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,YES,YES,2019-01-01,2023-01-01,2022-04-06,Atomwaffendivision Deutschland,1,1016,925,1016,500,0,13026,0,1,0,3,None,0,1,0,15269.46,-2243.46
Der Schelm,0,regional,association,2022,,38800,1,14000,500,1,1016,0,13026,Röderaue,Sachsen,51.38832012,13.46957322,,,,,,YES (2022),,None,,,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2022-01-01,2023-01-01,2022-06-01,Der Schelm,1,1016,1016,1016,500,0,13026,0,1,0,1,None,0,1,0,15269.455,-2243.46
Knockout 51 (KO 51),0,regional,association,2022,,38800,1,14000,500,1,1016,0,13026,Eisenach,Thueringen,50.977398,10.30694314,,,,,,YES (2022),,Both,,https://taz.de/Terrorverdacht-gegen-Rechtsextreme/!5847946/,neo-Nazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2022-01-01,2023-01-01,2022-04-06,Knockout 51,1,1016,1016,1016,500,0,13026,1,1,0,1,Both,1,1,0,15269.455,-2243.46
Neue Staerke Partei (NSP),0,national,party,2022,,38800,1,14000,500,1,1016,0,13026,Erfurt,Thueringen,50.950913,11.08914408,,,,,,,,None,,,Rechtsextremistische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2022-01-01,2023-01-01,,Neue Staerke Partei,0,1016,1016,1016,500,0,13026,0,0,1,1,None,0,1,0,15269.46,-2243.46
Sonderkommando 1418 (SKD 1418),0,national,association,2022,,38800,1,14000,500,1,1016,0,13026,Eisenach,Thueringen,50.977398,10.30694314,,,,,,YES (2022),,None,,,Rechtsextremistische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2022-01-01,2023-01-01,2022-04-06,Sonderkommando 1418,1,1016,1016,1016,500,0,13026,0,1,0,1,None,0,1,0,15269.46,-2243.46
Vereinte Patrioten,0,national,association,2022,,38800,1,14000,500,1,1016,0,13026,Falkensee,Brandenburg,52.56286753,13.07115717,,,,,,,,None,,online (Telegram); https://www.tagesschau.de/investigativ/report-mainz/vereinte-patrioten-101.html,Rechtsextremistische,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,2022-01-01,2023-01-01,2022-04-12,Vereinte Patrioten,1,1016,1016,1016,500,0,13026,0,1,0,1,None,0,1,0,15269.46,-2243.46
Hammerskins,1,national,association,2023,,38800,1,14000,500,1,1016,0,13026,Ludwigshafen,Rheinland-Pfalz,49.4704113,8.4381568,"140 (2015), 130 (2013), 100 (2004), 120 (2002), 100 (2000), 120 (1999)",,"YES: (VfS2002, p40)",,YES,,1,Members,https://www.bpb.de/themen/rechtsextremismus/dossier-rechtsextremismus/500782/hammerskins/,,"Gewaltbereit, Skinheads",,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,,,,,1995-01-01,2017-01-01,2023-09-01,Hammerskins,1,837,837,1600,500,0,13026,0.25,1,0,18,Members,0.25,1,0,15269.46,-2243.46
Artgemeinschaft - Germanische Glaubens-Gemeinscahft wesensgemaesser Lebensgestaltung e.V,1,national,association,2023,,38800,1,14000,500,1,1016,0,7888,Stockstadt,Bayern,49.97456741,9.067868233,150,,,,,,,Both,https://www.apabiz.de/archiv/material/Profile/Artgemeinschaft.htm,connected to Jurgen Rieger,sonstige rechtsextremistische Gruppen,,,,,,,,YES,,,,,,,,YES,,,,,,,,,,,,,,,,,,1997-01-01,1998-01-01,2023-09-27,AGGGwL,1,790,790,1600,500,0,13026,1,0,0,2,Both,1,1,0,15269.46,-2243.46
